Name,Count,ProportionFemale
Fern,2448,0.9959150326797386
Letha,2705,1.0
Venus,7058,0.9946160385378294
Juliana,55379,0.9991151880676791
Lucretia,4437,1.0
Meg,4334,1.0
Christa,30709,0.9991207789247452
Valeria,60626,0.9982680698050341
Debrah,1771,1.0
Aurora,50822,0.9996654991932628
Cyndi,2742,1.0
Erika,123253,0.9955538607579532
Collette,4966,1.0
Dawna,4245,1.0
Myrtle,1774,1.0
Susana,17918,0.9970978903895524
Tresa,3322,1.0
Bettie,1742,1.0
Bettina,4228,1.0
Graciela,12693,0.996927440321437
Rosario,9612,0.7779858510195589
Juliet,26893,0.9998140780128658
Leila,31271,0.9998401074477951
Marva,2341,1.0
Beverley,1586,0.9899117276166457
Mollie,18993,0.9996840941399463
Debbra,1544,1.0
Jacquline,5257,1.0
Lu,920,0.9934782608695653
Cornelia,3379,0.9985202722699024
Lela,6935,1.0
Alexis,399776,0.8413561594492917
Clarice,4640,1.0
Esmeralda,45106,0.996009400079812
Muriel,3083,0.9961076873175478
Nola,7524,1.0
Nona,2495,1.0
Sherrill,1937,0.8838409912235415
Twyla,3530,1.0
Dorinda,2479,1.0
Joellen,2762,1.0
Mercedes,35048,0.9922106824925816
Selina,16174,1.0
Annamarie,8869,1.0
Valencia,9811,0.9988788094995413
Blanche,2089,1.0
Carmella,6094,1.0
Magdalena,12570,0.9992044550517104
Marilee,2497,1.0
Nan,1313,1.0
Sybil,3877,1.0
Treva,3355,0.9982116244411326
Aida,8728,0.9994271310724107
Hilary,22552,0.9805338772614403
William,1531491,0.004121473779473728
Cassie,37913,0.9957270593200221
Dayna,13217,0.9937958689566467
Doretha,1768,1.0
Juana,10902,0.9930288020546688
Aimee,51484,0.9984849662030922
Annetta,2501,1.0
Mable,1964,1.0
Milagros,8143,0.9993859756846372
Andra,6276,0.6367112810707457
Roseanne,3428,1.0
Sherie,3397,1.0
Tori,36554,0.9683755539749411
Winifred,3564,0.9719416386083053
Charla,5355,1.0
Ester,5644,0.9920269312544295
Ivette,10059,0.9990058653941744
Jerry,203338,0.012604628746225496
Millie,11367,1.0
Ronna,2294,1.0
Estelle,6370,1.0
Camilla,17418,1.0
Chandra,16379,0.9959704499664204
Nanci,3344,1.0
Randy,194973,0.011622122037410308
Sadie,72500,0.9993241379310345
Darleen,2675,1.0
Fonda,2155,1.0
Harriett,1653,1.0
Lanette,3590,1.0
Mara,18911,0.9991539315742161
Athena,34669,1.0
Cathi,1386,1.0
Delois,1303,1.0
Louisa,8624,1.0
Suzanna,7357,1.0
Merri,1900,1.0
Mimi,3953,1.0
Rachael,77415,0.9976619518181231
Angelita,6183,0.9991913310690603
Ina,3563,0.9969127140050519
Melva,2005,1.0
Willa,8964,1.0
Candi,6415,1.0
Mandy,37565,0.9963263676294423
Roxie,3406,0.9985320023487962
Cristina,49575,0.994553706505295
Suzy,2824,1.0
Bette,1296,1.0
Georgina,10602,1.0
Leisha,1922,1.0
Martina,12614,0.997383859204059
Ollie,5222,0.3910379165070854
Portia,6575,0.9987832699619772
Carolina,37633,0.99710360587782
Edie,4064,0.99876968503937
Jewell,4419,0.8323150033944331
Leanna,20195,0.9997524139638524
Rosanna,8954,0.9993299084208175
Lavern,3072,0.4456380208333333
Nettie,2096,1.0
Tonja,6357,0.9992134654711342
Aleta,2627,1.0
Delilah,38546,1.0
Donita,2740,1.0
Madelyn,83677,0.9994861192442368
Carleen,3125,1.0
Cecile,2426,1.0
Janeen,4638,1.0
Joanie,3589,1.0
Margot,10217,1.0
Melisa,18325,0.9994542974079127
Noemi,18864,0.9963422391857506
Reva,3907,1.0
Essie,2063,0.9796412990790111
Jacque,3691,0.5900839880791113
Katheryn,7717,1.0
Maryjane,6844,1.0
May,6263,0.980360849433179
Adriana,89566,0.9955451845566398
Barbra,3793,1.0
Elana,7882,1.0
Francesca,28526,0.9988431606253944
Jacki,2461,0.9979683055668428
Carey,19965,0.5425995492111194
Celestine,2382,1.0
Gilda,2056,1.0
Jannie,2184,1.0
Lilly,45451,0.9994719588127874
Lizabeth,3605,1.0
Tommie,12452,0.2620462576292965
Esperanza,12718,0.9988205692718981
Leta,1954,1.0
Petra,6614,0.9984880556395525
Romona,2139,1.0
Sharla,4985,1.0
Zelda,5147,1.0
Deedee,2615,1.0
Iva,3590,0.9935933147632312
Kara,99036,0.9973847893695222
Lita,2002,1.0
Liza,14254,0.9990178195594219
Rona,2789,1.0
Juliann,5135,0.9888997078870496
